commonName,Type,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,redshift,redshift_lower,redshift_upper,p_astro,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW190517_055101,Binary Black Hole Collision,39.2,-9.2,13.9,24,-7.9,7.4,10.8,-0.6,0.5,1790,-880,1750,0.49,-0.28,0.21,64.1,-9.8,9.9,26.5,-4.2,4,0.33,-0.15,0.26,1,60.1,-9.4,9.9
GW190519_153544,Binary Black Hole Collision,65.1,-11,10.8,40.8,-12.7,11.5,15.9,-0.3,0.2,2600,-960,1720,0.33,-0.24,0.2,105.6,-13.9,14.4,44.3,-7.5,6.8,0.45,-0.15,0.24,1,100,-12.9,13
GW190521,Binary Black Hole Collision,98.4,-21.7,33.6,57.2,-30.1,27.1,14.3,-0.4,0.5,3310,-1800,2790,-0.14,-0.45,0.5,153.1,-16.2,42.2,63.3,-14.6,19.6,0.56,-0.27,0.36,0.99989,147.4,-16,40
GW190521_074359,Binary Black Hole Collision,43.4,-5.5,5.8,33.4,-6.8,5.2,25.9,-0.2,0.1,1080,-530,580,0.1,-0.13,0.13,76.3,-5.9,7,32.8,-2.8,3.2,0.21,-0.1,0.1,1,72.6,-5.4,6.5
GW190527_092055,Binary Black Hole Collision,35.6,-8,18.7,22.2,-8.7,9,8,-0.9,0.4,2520,-1230,2080,0.1,-0.22,0.22,58.1,-8.8,18.1,23.9,-3.9,6.8,0.44,-0.19,0.29,0.84784,55.5,-8.5,17.9
GW190602_175927,Binary Black Hole Collision,71.8,-14.6,18.1,44.8,-19.6,15.5,13.2,-0.3,0.2,2840,-1280,1930,0.12,-0.28,0.25,115.6,-14.8,19.2,48,-9.7,9.5,0.49,-0.2,0.26,1,110.5,-13.9,17.9
GW190620_030421,Binary Black Hole Collision,58,-13.3,19.2,35,-14.5,13.1,12.1,-0.4,0.3,2910,-1320,1710,0.34,-0.29,0.22,92.7,-13.2,18.5,38.1,-7.2,8.5,0.5,-0.2,0.23,0.98748,88,-12.4,17.2
GW190630_185205,Binary Black Hole Collision,35.1,-5.5,6.5,24,-5.2,5.5,16.4,-0.3,0.2,870,-360,530,0.1,-0.13,0.14,59.4,-4.8,4.7,25.1,-2.1,2.2,0.18,-0.07,0.09,1,56.6,-4.5,4.4
GW190701_203306,Binary Black Hole Collision,54.1,-8,12.6,40.5,-12.1,8.7,11.2,-0.4,0.2,2090,-740,770,-0.08,-0.31,0.23,94.3,-9.5,12,40.2,-5,5.4,0.38,-0.12,0.11,0.99986,90.2,-8.9,11.2
GW190706_222641,Binary Black Hole Collision,74,-16.9,20.1,39.4,-15.4,18.4,13.4,-0.4,0.2,3630,-2000,2600,0.28,-0.31,0.25,112.6,-16.8,27.4,45.6,-9.1,13,0.6,-0.29,0.33,1,107.3,-15.9,25.2
GW190707_093326,Binary Black Hole Collision,12.1,-2,2.6,7.9,-1.3,1.6,13.1,-0.4,0.2,850,-400,340,-0.04,-0.09,0.1,20.1,-1.2,1.7,8.4,-0.4,0.6,0.17,-0.08,0.06,1,19.2,-1.2,1.7
GW190708_232457,Binary Black Hole Collision,19.8,-4.3,4.3,11.6,-2,3.1,13.4,-0.3,0.2,930,-390,310,0.05,-0.1,0.1,31.4,-2.2,2.8,13.1,-0.6,0.9,0.19,-0.07,0.06,0.99965,30.1,-2.1,2.9
GW190719_215514,Binary Black Hole Collision,36.6,-11.1,42.1,19.9,-9.3,10,7.9,-0.7,0.3,3730,-2070,3120,0.25,-0.32,0.33,57.2,-11.6,38.4,22.8,-4.3,8.3,0.61,-0.3,0.39,0.91976,54.5,-11.1,38.3
GW190720_000836,Binary Black Hole Collision,14.2,-3.3,5.6,7.5,-1.8,2.2,10.9,-0.8,0.3,770,-260,650,0.19,-0.11,0.14,21.8,-2,3.8,9,-0.8,0.4,0.16,-0.05,0.11,1,20.8,-2,3.9
GW190725_174728,Binary Black Hole Collision,11.8,-3,10.1,6.3,-2.5,2.1,9.1,-0.7,0.4,1030,-430,520,-0.04,-0.16,0.36,18.3,-1.9,7.4,7.4,-0.5,0.5,0.2,-0.08,0.09,0.96021,17.6,-1.8,7.7
GW190727_060333,Binary Black Hole Collision,38.9,-6,8.9,30.2,-8.3,6.5,11.7,-0.5,0.2,3070,-1230,1300,0.09,-0.27,0.25,68.8,-7.8,10.2,29.4,-3.7,4.6,0.52,-0.18,0.18,1,65.4,-7.3,9.5
GW190728_064510,Binary Black Hole Collision,12.5,-2.3,6.9,8,-2.6,1.7,13.1,-0.4,0.3,880,-380,260,0.13,-0.07,0.19,20.7,-1.4,4.2,8.6,-0.3,0.6,0.18,-0.07,0.05,1,19.7,-1.4,4.4
GW190731_140936,Binary Black Hole Collision,41.8,-9.1,12.7,29,-9.9,10.2,8.8,-0.4,0.3,3330,-1770,2350,0.07,-0.25,0.28,70.7,-11.4,16.3,29.7,-5.3,7.4,0.56,-0.26,0.31,0.83427,67.4,-10.8,15.3
GW190803_022701,Binary Black Hole Collision,37.7,-6.7,9.8,27.6,-8.5,7.6,9.3,-0.5,0.3,3190,-1470,1630,-0.01,-0.28,0.23,65,-8.1,12,27.6,-3.8,5.4,0.54,-0.22,0.22,0.97383,62.1,-7.6,11.2
GW190805_211137,Binary Black Hole Collision,46.2,-11.2,15.4,30.6,-11.3,11.8,8.1,-0.7,0.5,6130,-3080,3720,0.37,-0.39,0.29,76.7,-13.8,19.5,31.9,-6.3,8.8,0.92,-0.4,0.43,0.95372,72.4,-13.2,18.2
GW190814,Binary Black Hole Collision,23.3,-1.4,1.4,2.6,-0.1,0.1,25.3,-0.2,0.1,230,-50,40,0,-0.07,0.07,25.9,-1.3,1.3,6.11,-0.05,0.06,0.05,-0.01,0.01,1,25.7,-1.3,1.3
